Field,X,Y,Influx
1,49.0,149.0,2.340702210663199
1,50.0,200.0,-14.237288135593221
1,59.0,282.0,1.970954356846473
1,62.0,171.0,0.5580357142857143
1,68.0,124.0,-10.434782608695652
1,72.0,219.0,1.1494252873563218
1,76.0,151.0,-0.44609665427509293
1,80.0,60.0,-3.5505836575875485
1,84.0,62.0,-1.434583014537108
1,84.0,228.0,1.976608187134503
1,91.0,271.0,0.5849093390524468
1,103.0,88.0,-1.1773940345368918
1,110.0,141.0,1.2324324324324323
1,121.0,33.0,3.959276018099547
1,131.0,74.0,-0.5175798679278958
1,138.0,130.0,-35.267349260523325
1,140.0,215.0,1.592680447305998
1,141.0,37.0,0.2188183807439825
1,153.0,187.0,0.9715725080964376
1,154.0,398.0,2.98099614954664
1,158.0,328.0,-4.71898197242842
1,161.0,218.0,1.2925463162429989
1,164.0,284.0,-4.9337260677466865
1,179.0,259.0,-2.5752404591995037
1,184.0,193.0,5.9948320413436695
1,190.0,137.0,2.158273381294964
1,202.0,149.0,1.0568031704095113
1,209.0,160.0,7.207920792079207
1,209.0,339.0,-0.16339869281045752
1,212.0,192.0,2.8309346829036848
1,231.0,64.0,-1.1409013120365088
1,233.0,165.0,-5.332302936630603
1,234.0,153.0,-0.735200912663202
1,237.0,73.0,1.5972894482090998
1,248.0,334.0,3.223055934515689
1,250.0,96.0,1.5817671570711795
1,258.0,208.0,2.1301316808675446
1,269.0,210.0,2.178496134926212
1,270.0,412.0,-1.09717868338558
1,276.0,285.0,-1.5412511332728922
1,280.0,154.0,-3.866325161605074
1,291.0,128.0,0.7232084155161078
1,293.0,462.0,0.9380863039399625
1,298.0,237.0,-3.633180126942438
1,306.0,157.0,0.30643513789581206
1,307.0,357.0,-4.737687366167023
1,310.0,134.0,0.23133543638275497
1,312.0,310.0,3.155479059093517
1,315.0,128.0,3.412584546013527
1,315.0,438.0,-5.361702127659575
1,318.0,376.0,0.0390625
1,319.0,304.0,-1.300761421319797
1,320.0,47.0,-9.325153374233128
1,326.0,166.0,2.2852306390181973
1,327.0,125.0,2.2036781981690026
1,330.0,147.0,-2.4141630901287554
1,349.0,270.0,2.785453741571792
1,368.0,410.0,-14.184397163120568
1,372.0,369.0,-1.5206372194062274
1,374.0,71.0,5.635120126264102
1,378.0,79.0,-8.498458828709818
1,384.0,135.0,2.377686328303612
1,384.0,219.0,-0.6392593409015761
1,388.0,175.0,-0.12285012285012285
1,391.0,82.0,2.4032825322391558
1,394.0,281.0,2.8701594533029615
1,398.0,217.0,-1.6769759450171822
1,399.0,196.0,8.422018348623853
1,400.0,174.0,2.3940414967192765
1,403.0,432.0,-1.5255292652552928
1,404.0,286.0,2.5081788440567068
1,407.0,213.0,-3.5664270376248717
1,409.0,70.0,-0.4856512141280353
1,412.0,114.0,-3.088900050226017
1,412.0,262.0,-1.6791044776119404
1,417.0,199.0,-4.487989886219975
1,419.0,92.0,-19.27107061503417
1,420.0,85.0,-1.7420000540993807
1,428.0,175.0,2.4803284296955184
1,431.0,171.0,1.7675415104445635
1,446.0,341.0,-5.027932960893855
1,447.0,260.0,1.498549790525298
1,459.0,329.0,2.105056069250443
1,465.0,324.0,5.626283367556468
1,468.0,54.0,4.318021654173874
1,471.0,215.0,2.1815848572345207
1,474.0,38.0,-3.5215543412264725
2,31.0,187.0,2.0542317173377156
2,47.0,179.0,-0.9387078961899503
2,48.0,34.0,-1.0286225402504472
